"state","total_votes","rep_votes","dem_votes","third_votes","other_votes","year","county"
"Louisiana",5254,0.374,0.5822,0.0124,0.0314,2000,"st. helena"
"Louisiana",10705,0.3562,0.6093,0.0057,0.0288,2000,"st. james"
"Louisiana",17713,0.4191,0.5502,0.0093,0.0215,2000,"st. john the baptist"
"Louisiana",34151,0.4524,0.529,0.0066,0.012,2000,"st. landry"
"Louisiana",20778,0.4794,0.4742,0.0129,0.0335,2000,"st. martin"
"Louisiana",21810,0.5193,0.4517,0.0098,0.0193,2000,"st. mary"
"Louisiana",83737,0.7069,0.2713,0.0143,0.0074,2000,"st. tammany"
"Louisiana",37155,0.5496,0.4264,0.0109,0.0131,2000,"tangipahoa"
"Louisiana",3010,0.4419,0.5249,0.0066,0.0266,2000,"tensas"
"Louisiana",36675,0.5812,0.393,0.0085,0.0174,2000,"terrebonne"
"Louisiana",9343,0.6178,0.343,0.0071,0.0321,2000,"union"
"Louisiana",22235,0.562,0.3915,0.0138,0.0328,2000,"vermilion"
"Louisiana",13827,0.636,0.3367,0.0109,0.0164,2000,"vernon"
"Louisiana",16887,0.5319,0.4381,0.0075,0.0224,2000,"washington"
"Louisiana",17090,0.5512,0.4211,0.007,0.0207,2000,"webster"
"Louisiana",10169,0.4842,0.4974,0.0068,0.0116,2000,"west baton rouge"
"Louisiana",4675,0.6888,0.2821,0.0053,0.0237,2000,"west carroll"
"Louisiana",4860,0.5169,0.45,0.0128,0.0204,2000,"west feliciana"
"Louisiana",6361,0.6332,0.3407,0.0082,0.0179,2000,"winn"
"Louisiana",23927,0.3864,0.5141,0.0934,0.0061,1996,"acadia"
"Louisiana",8844,0.2927,0.5574,0.1342,0.0156,1996,"allen"
"Louisiana",29400,0.3702,0.5191,0.103,0.0077,1996,"ascension"
"Louisiana",10212,0.2642,0.6283,0.0885,0.019,1996,"assumption"
"Louisiana",16410,0.2701,0.5904,0.118,0.0214,1996,"avoyelles"
"Louisiana",12499,0.4421,0.394,0.1467,0.0171,1996,"beauregard"
"Louisiana",7384,0.3253,0.5871,0.0619,0.0257,1996,"bienville"
"Louisiana",35382,0.4763,0.4382,0.0752,0.0103,1996,"bossier"
"Louisiana",99379,0.3869,0.5589,0.0485,0.0057,1996,"caddo"
"Louisiana",73661,0.3597,0.5191,0.1124,0.0088,1996,"calcasieu"
"Louisiana",4559,0.404,0.4644,0.1127,0.0189,1996,"caldwell"
"Louisiana",4148,0.3291,0.507,0.1432,0.0207,1996,"cameron"
"Louisiana",5166,0.3426,0.5211,0.119,0.0172,1996,"catahoula"
"Louisiana",6739,0.371,0.5355,0.0786,0.0148,1996,"claiborne"
"Louisiana",8715,0.3596,0.5238,0.0981,0.0185,1996,"concordia"
"Louisiana",10520,0.3352,0.5913,0.0614,0.0121,1996,"de soto"
"Louisiana",170647,0.456,0.4893,0.0468,0.0079,1996,"east baton rouge"
"Louisiana",3411,0.2955,0.63,0.0545,0.0199,1996,"east carroll"
"Louisiana",8401,0.351,0.5611,0.0786,0.0093,1996,"east feliciana"
"Louisiana",14854,0.3553,0.5283,0.0974,0.019,1996,"evangeline"
